ip1_kind,toctoc,P0,E1,PT,HY,SF,vcode,vctype
5,True,True,False,False,False,False,5002,HYBRID_5002
5,True,True,False,False,False,False,5003,HYBRID_5003
5,True,True,False,False,False,False,5004,HYBRID_5004
5,True,True,False,False,False,False,5001,HYBRID_5001
5,False,True,False,False,False,False,-1,HYBRID_5001
5,False,True,False,False,True,False,-1,HYBRID_5001
5,True,True,False,False,False,True,-1,OLD_HYBRID_STAGGERED
5,True,True,False,False,False,False,5005,HYBRID_5005
2,True,True,False,False,False,False,5005,HYBRID_5005
2,True,False,False,False,False,False,5005,HYBRID_5005
5,True,False,False,False,False,False,5005,HYBRID_5005
4,True,False,False,False,False,False,5005,HYBRID_5005
4,True,True,False,False,False,False,5005,HYBRID_5005
4,False,False,False,False,False,False,-1,METER_GROUND_LEVEL
2,True,True,False,False,False,False,2001,PRESSURE_2001
2,False,False,False,False,False,False,-1,PRESSURE_2001
1,True,True,False,False,False,False,1002,ETA_1002
1,True,True,False,True,False,False,1002,ETA_1002
1,False,True,False,True,False,False,-1,ETA_1002
1,False,True,False,True,True,False,-1,ETA_1002
1,True,True,False,False,False,False,1001,SIGMA_1001
1,False,True,False,False,False,False,-1,SIGMA_1001
1,False,True,True,True,False,False,-1,ETA_SEF
1,False,True,False,False,True,False,-1,HYBRID_NORMALIZED_1003
7,False,False,False,False,False,False,-1,PRESSURE_2001
0,False,False,False,False,False,False,-1,METER_SEA_LEVEL
